Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
^BVSP,^DJI,^IXIC,^BVSP,^DJI,^IXIC,^BVSP,^DJI,^IXIC,^BVSP,^DJI,^IXIC,^BVSP,^DJI,^IXIC,^BVSP,^DJI,^IXIC
110335.0,31535.509765625,13588.830078125,110335.0,31535.509765625,13588.830078125,112445.0,31668.33984375,13596.58984375,110036.0,31065.900390625,13362.66015625,110036.0,31065.900390625,13406.16015625,11239900.0,385670000.0,5079530000.0
111540.0,31391.51953125,13358.7900390625,111540.0,31391.51953125,13358.7900390625,112428.0,31623.26953125,13601.330078125,107319.0,31377.16015625,13352.0,110328.0,31535.369140625,13599.4501953125,14823200.0,337270000.0,4948140000.0
111184.0,31270.08984375,12997.75,111184.0,31270.08984375,12997.75,112398.0,31563.310546875,13372.51953125,107466.0,31260.140625,12995.0703125,111529.0,31352.9609375,13336.25,15144300.0,409660000.0,5529980000.0
112690.0,30924.140625,12723.4697265625,112690.0,30924.140625,12723.4697265625,114433.0,31461.970703125,13068.7099609375,111163.0,30547.529296875,12553.9599609375,111191.0,31289.009765625,12953.990234375,14221600.0,537850000.0,7864380000.0
115202.0,31496.30078125,12920.150390625,115202.0,31496.30078125,12920.150390625,115504.0,31580.330078125,12941.2099609375,112504.0,30766.810546875,12397.0498046875,112690.0,31029.1796875,12860.0400390625,13254800.0,501810000.0,7725200000.0
110612.0,31802.439453125,12609.16015625,110612.0,31802.439453125,12609.16015625,115202.0,32148.0390625,13001.0,110268.0,31512.150390625,12599.23046875,115202.0,31512.150390625,12904.259765625,0.0,496980000.0,6010230000.0
111331.0,31832.740234375,13073.8203125,111331.0,31832.740234375,13073.8203125,112525.0,32150.3203125,13151.5400390625,109343.0,31822.640625,12882.490234375,110611.0,31892.349609375,12923.0703125,12135300.0,458690000.0,6345560000.0
112776.0,32297.01953125,13068.830078125,112776.0,32297.01953125,13068.830078125,112928.0,32389.5,13277.1103515625,109999.0,31906.9609375,13035.4404296875,111331.0,31906.9609375,13234.73046875,12511800.0,409110000.0,6023880000.0
114984.0,32485.58984375,13398.669921875,114984.0,32485.58984375,13398.669921875,115127.0,32661.58984375,13433.6201171875,112776.0,32345.69921875,13246.330078125,112782.0,32354.5,13273.3095703125,12092100.0,400020000.0,6008850000.0
114160.0,32778.640625,13319.8603515625,114160.0,32778.640625,13319.8603515625,114984.0,32793.3203125,13324.6904296875,113253.0,32462.400390625,13158.7197265625,114984.0,32462.400390625,13222.8095703125,8110700.0,346400000.0,5497210000.0
114851.0,32953.4609375,13459.7099609375,114851.0,32953.4609375,13459.7099609375,114903.0,32973.3984375,13460.349609375,113635.0,32629.75,13272.5,114093.0,32798.83984375,13323.4697265625,8224700.0,360080000.0,5972370000.0
114019.0,32825.94921875,13471.5703125,114019.0,32825.94921875,13471.5703125,114974.0,32966.75,13620.7099609375,113370.0,32778.23046875,13397.080078125,114845.0,32966.75,13523.169921875,78000.0,386370000.0,5493890000.0
116549.0,33015.37109375,13525.2001953125,116549.0,33015.37109375,13525.2001953125,116736.0,33047.578125,13595.0,113428.0,32782.1796875,13272.6904296875,114018.0,32825.51953125,13336.91015625,94300.0,391200000.0,5536110000.0
114835.0,32862.30078125,13116.169921875,114835.0,32862.30078125,13116.169921875,116751.0,33227.78125,13384.4599609375,114302.0,32831.25,13101.919921875,116549.0,32928.16015625,13349.2001953125,9920100.0,418480000.0,5739720000.0
116222.0,32627.970703125,13215.240234375,116222.0,32627.970703125,13215.240234375,116446.0,32858.359375,13252.3701171875,114610.0,32505.0703125,13039.4501953125,114837.0,32858.359375,13119.900390625,12341800.0,811890000.0,7630590000.0
114979.0,32731.19921875,13377.5400390625,114979.0,32731.19921875,13377.5400390625,116225.0,32810.3515625,13455.6396484375,113620.0,32512.529296875,13278.7802734375,116222.0,32601.8203125,13278.7802734375,8160600.0,383500000.0,5321760000.0
113262.0,32423.150390625,13227.7001953125,113262.0,32423.150390625,13227.7001953125,115599.0,32753.76953125,13405.150390625,113062.0,32356.279296875,13202.4296875,114977.0,32691.5,13381.4296875,8301500.0,385840000.0,5675010000.0
112064.0,32420.060546875,12961.8896484375,112064.0,32420.060546875,12961.8896484375,114823.0,32787.98828125,13292.919921875,112064.0,32418.150390625,12961.349609375,113272.0,32470.880859375,13289.240234375,9834000.0,399390000.0,6248650000.0
113750.0,32619.48046875,12977.6796875,113750.0,32619.48046875,12977.6796875,114024.0,32672.689453125,13021.8603515625,110927.0,32071.41015625,12786.8095703125,112065.0,32346.810546875,12844.580078125,10306500.0,411990000.0,5634290000.0
114781.0,33072.87890625,13138.73046875,114781.0,33072.87890625,13138.73046875,115416.0,33098.828125,13149.5498046875,113305.0,32681.0703125,12878.7197265625,113750.0,32681.0703125,12996.0302734375,8659500.0,382170000.0,5224360000.0
115419.0,33171.37109375,13059.650390625,115419.0,33171.37109375,13059.650390625,115553.0,33259.0,13143.41015625,114096.0,32905.12890625,12968.16015625,114776.0,33087.55078125,13103.9697265625,7463300.0,351610000.0,4965090000.0
116850.0,33066.9609375,13045.3896484375,116850.0,33066.9609375,13045.3896484375,117090.0,33170.9296875,13075.75,114999.0,32988.921875,12922.5703125,115414.0,33127.87890625,13008.7998046875,8141600.0,307510000.0,4721950000.0
116634.0,32981.55078125,13246.8701171875,116634.0,32981.55078125,13246.8701171875,117249.0,33173.76953125,13325.5400390625,115932.0,32980.5703125,13118.3798828125,116850.0,33116.0390625,13122.5703125,10659200.0,414140000.0,5004720000.0
