Ano de referência;Unidade da Federação;Número de controle;Número de série;Tipo de entrevista;Total de moradores;Total de moradores de 10 anos ou mais;Tipo do domicílio;Número de cômodos do domicílio;Número de cômodos servindo de dormitório;Condição de ocupação do domicílio;Aluguel mensal pago no mês de referência;Prestação mensal paga no mês de referência;Tem acesso à Internet no próprio domicilio;Tem carro ou motocicleta de uso pessoal;Rendimento mensal domiciliar;Número de componentes do domícilio;Rendimento mensal domiciliar per capita
2015;Rondônia;11000058;008;Realizada;4;3;Casa;5;2;Alugado;650;0;2;4;3350;4;837
2015;Rondônia;11000163;001;Realizada;3;1;Casa;6;2;Próprio – já pago;0;0;4;4;1734;3;578
2015;Rondônia;11000210;019;Realizada;2;2;Casa;4;2;Próprio – já pago;0;0;4;4;1576;2;788
2015;Rondônia;11000341;015;Realizada;5;5;Casa;4;2;Próprio – já pago;0;0;4;2;3427;5;685
2015;Rondônia;11000422;006;Realizada;3;2;Casa;5;2;Próprio – já pago;0;0;4;4;900;3;300
2015;Rondônia;11000660;011;Realizada;2;2;Casa;5;1;Próprio – já pago;0;0;2;2;2350;2;1175
2015;Rondônia;11000678;008;Realizada;4;3;Casa;6;2;Próprio – já pago;0;0;2;6;2518;4;629
2015;Rondônia;11000775;001;Realizada;4;4;Casa;7;3;Próprio – já pago;0;0;4;2;7988;4;1997
2015;Rondônia;11000775;007;Realizada;1;1;Apartamento;2;1;Cedido de outra forma;0;0;4;8;788;1;788
2015;Rondônia;11000937;019;Realizada;2;2;Apartamento;5;2;Alugado;600;0;4;8;1500;2;750
2015;Rondônia;11001011;016;Realizada;4;4;Casa;4;1;Próprio – já pago;0;0;2;8;3500;4;875
2015;Rondônia;11001046;012;Realizada;3;3;Apartamento;5;2;Alugado;1000;0;2;2;11000;3;3666
2015;Rondônia;11001100;006;Realizada;3;2;Casa;4;1;Cedido por empregador;0;0;4;4;1277;3;425
2015;Rondônia;11001119;004;Realizada;4;4;Casa;6;2;Próprio – já pago;0;0;2;6;7788;4;1947
2015;Rondônia;11001127;012;Realizada;2;2;Casa;6;2;Próprio – já pago;0;0;4;4;1588;2;794
2015;Rondônia;11001143;013;Realizada;4;2;Casa;5;2;Próprio – já pago;0;0;2;4;4354;4;1088
2015;Rondônia;11001194;007;Realizada;4;3;Casa;6;2;Próprio – já pago;0;0;4;2;1880;4;470
2015;Rondônia;11001216;001;Realizada;3;3;Casa;6;2;Próprio – já pago;0;0;2;6;3688;3;1229
2015;Rondônia;11001216;003;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;4;8;1388;2;694
2015;Rondônia;11001410;019;Realizada;1;1;Casa;7;1;Próprio – já pago;0;0;4;2;788;1;788
2015;Rondônia;11001453;014;Realizada;2;2;Casa;8;1;Próprio – já pago;0;0;4;2;1576;2;788
2015;Rondônia;11001453;015;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;4;6;2388;3;796
2015;Rondônia;11001461;011;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;4;4;1012;3;337
2015;Rondônia;11001585;002;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;4;8;2120;3;706
2015;Rondônia;11001640;004;Realizada;3;3;Casa;6;2;Próprio – já pago;0;0;4;4;450;3;150
2015;Acre;12000205;018;Realizada;5;2;Casa;5;1;Próprio – já pago;0;0;4;8;1000;5;200
2015;Acre;12000221;013;Realizada;7;3;Casa;5;3;Próprio – já pago;0;0;4;8;1800;7;257
2015;Acre;12000302;010;Realizada;3;3;Casa;5;2;Cedido por empregador;0;0;4;8;1000;3;333
2015;Acre;12000396;015;Realizada;1;1;Apartamento;4;1;Alugado;800;0;2;4;2100;1;2100
2015;Acre;12000442;013;Realizada;4;3;Casa;5;2;Próprio – já pago;0;0;4;6;2400;4;600
2015;Acre;12000698;008;Realizada;6;5;Casa;5;3;Próprio – já pago;0;0;2;8;1174;6;195
2015;Acre;12000728;010;Realizada;3;2;Casa;1;1;Próprio – já pago;0;0;4;8;1788;3;596
2015;Acre;12000760;005;Realizada;3;2;Casa;2;1;Próprio – já pago;0;0;2;2;925;3;308
2015;Amazonas;13000276;006;Realizada;5;2;Casa;4;2;Próprio – já pago;0;0;4;8;786;5;157
2015;Amazonas;13000365;015;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;2;8;1988;3;662
2015;Amazonas;13000420;004;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;2;4;2200;3;733
2015;Amazonas;13000420;008;Realizada;1;1;Casa;3;1;Próprio – já pago;0;0;4;8;788;1;788
2015;Amazonas;13000500;009;Realizada;1;1;Casa;3;1;Próprio – já pago;0;0;4;8;1088;1;1088
2015;Amazonas;13000551;001;Realizada;3;3;Casa;6;2;Próprio – já pago;0;0;4;4;2500;3;833
2015;Amazonas;13000896;007;Realizada;3;2;Casa;5;2;Próprio – já pago;0;0;2;2;3414;3;1138
2015;Amazonas;13000969;005;Realizada;5;4;Casa;5;2;Próprio – já pago;0;0;2;2;3390;5;678
2015;Amazonas;13000969;011;Realizada;5;5;Casa;5;3;Próprio – já pago;0;0;2;2;5358;5;1071
2015;Amazonas;13001043;009;Realizada;3;3;Casa;5;1;Alugado;550;0;4;8;1000;3;333
2015;Amazonas;13001086;007;Realizada;3;2;Casa;9;3;Próprio – já pago;0;0;2;2;3000;3;1000
2015;Amazonas;13001140;013;Realizada;6;5;Casa;5;3;Próprio – já pago;0;0;4;8;1588;6;264
2015;Amazonas;13001167;010;Realizada;3;3;Casa;3;1;Cedido de outra forma;0;0;4;8;1100;3;366
2015;Amazonas;13001272;009;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;2;2;3100;2;1550
2015;Amazonas;13001396;014;Realizada;5;5;Casa;5;2;Próprio – já pago;0;0;2;8;3402;5;680
2015;Amazonas;13001418;005;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;2;8;2000;3;666
2015;Amazonas;13001485;016;Realizada;5;5;Casa;5;2;Próprio – já pago;0;0;2;2;2000;5;400
2015;Amazonas;13001523;013;Realizada;2;2;Casa;4;2;Próprio – já pago;0;0;2;4;1045;2;522
2015;Amazonas;13001671;002;Realizada;4;2;Casa;4;1;Próprio – já pago;0;0;4;8;1000;4;250
2015;Amazonas;13001671;003;Realizada;3;2;Apartamento;2;1;Alugado;285;0;4;8;1498;3;499
2015;Amazonas;13001671;012;Realizada;3;3;Casa;5;1;Próprio – já pago;0;0;4;8;800;3;266
2015;Amazonas;13001698;014;Realizada;6;4;Casa;3;2;Próprio – já pago;0;0;4;8;1158;6;193
2015;Amazonas;13001787;015;Realizada;2;2;Cômodo;3;1;Alugado;450;0;4;4;2086;2;1043
2015;Amazonas;13001850;017;Realizada;4;4;Casa;5;1;Próprio – já pago;0;0;2;2;3000;4;750
2015;Amazonas;13001892;014;Realizada;4;3;Casa;3;1;Alugado;200;0;4;8;1993;4;498
2015;Amazonas;13002066;016;Realizada;4;3;Casa;5;3;Próprio – já pago;0;0;4;4;1018;4;254
2015;Amazonas;13002090;020;Realizada;5;4;Casa;5;2;Próprio – já pago;0;0;4;8;586;5;117
2015;Amazonas;13002120;011;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;4;8;2888;3;962
2015;Amazonas;13002244;006;Realizada;4;2;Casa;5;3;Próprio – já pago;0;0;4;8;1388;4;347
2015;Amazonas;13002260;012;Realizada;4;3;Casa;4;2;Próprio – já pago;0;0;2;4;1525;4;381
2015;Amazonas;13002260;016;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;2;8;900;3;300
2015;Amazonas;13002309;010;Realizada;9;7;Casa;4;2;Próprio – já pago;0;0;2;4;3372;9;374
2015;Amazonas;13002317;002;Realizada;2;2;Casa;5;1;Próprio – já pago;0;0;4;4;4100;2;2050
2015;Amazonas;13002317;005;Realizada;2;2;Casa;6;2;Próprio – já pago;0;0;4;2;1988;2;994
2015;Amazonas;13002350;004;Realizada;1;1;Casa;3;1;Próprio – já pago;0;0;4;8;788;1;788
2015;Roraima;14000148;002;Realizada;1;1;Casa;3;1;Próprio – já pago;0;0;4;8;788;1;788
2015;Roraima;14000148;004;Realizada;1;1;Casa;3;1;Alugado;200;0;2;8;1200;1;1200
2015;Roraima;14000229;011;Realizada;3;3;Casa;4;1;Próprio – já pago;0;0;2;8;1500;3;500
2015;Roraima;14000440;030;Realizada;1;1;Casa;4;1;Próprio – já pago;0;0;4;8;500;1;500
2015;Pará;15000010;002;Realizada;2;2;Apartamento;5;2;Alugado;800;0;2;8;1588;2;794
2015;Pará;15000044;009;Realizada;5;5;Casa;5;2;Próprio – já pago;0;0;4;8;2176;5;435
2015;Pará;15000141;012;Realizada;2;1;Casa;3;1;Alugado;300;0;2;4;1800;2;900
2015;Pará;15000206;018;Realizada;3;3;Casa;8;2;Próprio – já pago;0;0;2;8;3988;3;1329
2015;Pará;15000249;005;Realizada;8;5;Casa;5;4;Próprio – já pago;0;0;2;8;2343;8;292
2015;Pará;15000311;017;Realizada;3;3;Apartamento;6;1;Próprio – já pago;0;0;2;4;1988;3;662
2015;Pará;15000400;013;Realizada;3;3;Casa;10;2;Próprio – ainda pagando;0;1000;2;2;14600;3;4866
2015;Pará;15000435;013;Realizada;3;3;Casa;7;2;Próprio – já pago;0;0;2;2;1600;3;533
2015;Pará;15000486;010;Realizada;5;4;Casa;4;2;Próprio – já pago;0;0;2;2;3322;5;664
2015;Pará;15000494;012;Realizada;3;3;Casa;6;2;Próprio – já pago;0;0;2;8;1950;3;650
2015;Pará;15000591;018;Realizada;4;4;Casa;4;1;Próprio – já pago;0;0;4;8;1047;4;261
2015;Pará;15000613;012;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;4;4;1576;2;788
2015;Pará;15000664;007;Realizada;5;4;Casa;7;3;Próprio – já pago;0;0;2;8;3188;5;637
2015;Pará;15001130;008;Realizada;3;2;Casa;3;1;Alugado;200;0;2;8;928;3;309
2015;Pará;15001164;005;Realizada;4;3;Casa;6;3;Próprio – já pago;0;0;4;2;3600;4;900
2015;Pará;15001202;010;Realizada;7;7;Casa;14;5;Próprio – já pago;0;0;2;6;10288;7;1469
2015;Pará;15001350;009;Realizada;2;2;Casa;4;1;Alugado;400;0;2;4;1188;2;594
2015;Pará;15001571;011;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;2;8;1688;2;844
2015;Pará;15001580;003;Realizada;4;3;Casa;4;2;Alugado;650;0;2;8;3788;4;947
2015;Pará;15001580;010;Realizada;6;6;Casa;5;2;Próprio – já pago;0;0;2;8;5888;6;981
2015;Pará;15001695;005;Realizada;5;4;Apartamento;6;3;Alugado;800;0;2;8;3526;5;705
2015;Pará;15001709;001;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;2;8;3200;2;1600
2015;Pará;15001806;015;Realizada;4;2;Casa;4;1;Próprio – já pago;0;0;2;8;1100;4;275
2015;Pará;15001903;004;Realizada;4;4;Casa;6;2;Próprio – já pago;0;0;4;8;2000;4;500
2015;Pará;15001970;005;Realizada;3;3;Casa;8;2;Próprio – já pago;0;0;2;6;7900;3;2633
2015;Pará;15002004;007;Realizada;2;2;Casa;4;2;Próprio – já pago;0;0;4;8;788;2;394
2015;Pará;15002004;012;Realizada;2;1;Casa;5;1;Alugado;380;0;2;8;1168;2;584
2015;Pará;15002179;009;Realizada;5;5;Apartamento;9;3;Próprio – ainda pagando;0;160;2;8;5056;5;1011
2015;Pará;15002233;009;Realizada;1;1;Casa;4;1;Alugado;250;0;2;8;650;1;650
2015;Pará;15002241;005;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;4;8;1188;3;396
2015;Pará;15002314;010;Realizada;1;1;Casa;6;1;Próprio – já pago;0;0;4;8;788;1;788
2015;Pará;15002349;006;Realizada;4;2;Casa;4;2;Próprio – já pago;0;0;2;8;1347;4;336
2015;Pará;15002462;008;Realizada;1;1;Casa;4;1;Alugado;450;0;4;8;3500;1;3500
2015;Pará;15002667;006;Realizada;5;3;Casa;4;2;Próprio – já pago;0;0;2;8;3578;5;715
2015;Pará;15002730;005;Realizada;4;2;Casa;5;2;Próprio – já pago;0;0;2;8;3000;4;750
2015;Pará;15002802;006;Realizada;5;4;Casa;6;3;Próprio – já pago;0;0;2;8;3135;5;627
2015;Pará;15002802;015;Realizada;1;1;Casa;5;1;Cedido de outra forma;0;0;2;8;300;1;300
2015;Pará;15002810;006;Realizada;5;4;Casa;6;2;Próprio – já pago;0;0;4;4;1398;5;279
2015;Pará;15002861;008;Realizada;4;4;Casa;10;3;Próprio – já pago;0;0;4;6;6288;4;1572
2015;Pará;15002977;002;Realizada;4;4;Casa;5;2;Próprio – já pago;0;0;4;8;1576;4;394
2015;Pará;15003035;005;Realizada;2;2;Casa;4;1;Próprio – já pago;0;0;4;8;1576;2;788
2015;Pará;15003035;011;Realizada;1;1;Casa;3;1;Próprio – já pago;0;0;4;8;788;1;788
2015;Pará;15003078;001;Realizada;3;2;Casa;2;1;Próprio – já pago;0;0;4;2;500;3;166
2015;Pará;15003132;009;Realizada;3;3;Casa;4;2;Alugado;350;0;2;8;35;3;11
2015;Pará;15003590;008;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;4;8;1576;3;525
2015;Pará;15003620;002;Realizada;1;1;Casa;4;1;Próprio – já pago;0;0;4;8;550;1;550
2015;Pará;15003841;008;Realizada;5;4;Casa;5;2;Próprio – já pago;0;0;2;4;2460;5;492
2015;Pará;15003841;017;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;4;8;788;3;262
2015;Pará;15003949;013;Realizada;4;3;Casa;6;2;Cedido de outra forma;0;0;2;8;589;4;147
2015;Pará;15003990;007;Realizada;5;5;Casa;6;3;Próprio – já pago;0;0;2;2;12800;5;2560
2015;Pará;15004112;014;Realizada;6;3;Casa;3;2;Próprio – já pago;0;0;4;8;950;6;158
2015;Pará;15004341;013;Realizada;9;7;Casa;5;4;Próprio – já pago;0;0;4;8;3040;9;337
2015;Pará;15004368;001;Realizada;4;3;Casa;4;2;Próprio – já pago;0;0;2;8;1933;4;483
2015;Pará;15004635;009;Realizada;4;4;Casa;6;2;Próprio – já pago;0;0;2;6;3000;4;750
2015;Pará;15004678;013;Realizada;6;4;Casa;5;2;Próprio – já pago;0;0;4;4;770;6;128
2015;Pará;15004929;013;Realizada;3;3;Casa;9;2;Próprio – já pago;0;0;2;4;2650;3;883
2015;Pará;15005011;008;Realizada;3;2;Casa;5;1;Alugado;500;0;2;8;2500;3;833
2015;Pará;15005259;009;Realizada;4;2;Casa;6;2;Próprio – já pago;0;0;2;4;1576;4;394
2015;Pará;15005267;016;Realizada;4;4;Casa;5;2;Cedido por empregador;0;0;4;8;942;4;235
2015;Pará;15005364;014;Realizada;3;2;Casa;4;1;Próprio – já pago;0;0;4;4;842;3;280
2015;Pará;15005402;004;Realizada;2;2;Casa;6;2;Próprio – já pago;0;0;4;4;1878;2;939
2015;Pará;15005429;005;Realizada;2;2;Casa;3;1;Cedido de outra forma;0;0;4;8;200;2;100
2015;Pará;15005500;005;Realizada;6;5;Casa;5;3;Próprio – já pago;0;0;4;8;10;6;10
2015;Pará;15005542;013;Realizada;2;2;Casa;3;1;Próprio – já pago;0;0;2;4;1300;2;650
2015;Pará;15005585;007;Realizada;6;5;Casa;5;3;Próprio – já pago;0;0;2;4;1417;6;236
2015;Amapá;16000102;002;Realizada;6;4;Apartamento;3;2;Alugado;250;0;4;8;1288;6;214
2015;Amapá;16000200;001;Realizada;3;2;Casa;9;1;Próprio – já pago;0;0;2;2;3050;3;1016
2015;Amapá;16000218;014;Realizada;6;4;Casa;5;3;Próprio – já pago;0;0;4;8;2684;6;447
2015;Amapá;16000269;015;Realizada;3;1;Casa;4;2;Próprio – já pago;0;0;4;8;1326;3;442
2015;Amapá;16000307;008;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;2;4;2820;3;940
2015;Amapá;16000404;010;Realizada;4;3;Casa;5;2;Próprio – já pago;0;0;2;2;1000;4;250
2015;Amapá;16000579;009;Realizada;4;4;Casa;5;2;Próprio – já pago;0;0;2;2;1390;4;347
2015;Tocantins;17000246;005;Realizada;2;2;Casa;5;1;Próprio – já pago;0;0;4;8;840;2;420
2015;Tocantins;17000297;004;Realizada;3;3;Casa;8;3;Próprio – já pago;0;0;4;8;1723;3;574
2015;Tocantins;17000378;016;Realizada;4;4;Casa;5;2;Próprio – já pago;0;0;4;4;977;4;244
2015;Tocantins;17000408;003;Realizada;4;2;Casa;5;2;Cedido de outra forma;0;0;4;8;517;4;129
2015;Tocantins;17000424;002;Realizada;1;1;Casa;5;1;Próprio – já pago;0;0;4;4;1576;1;1576
2015;Tocantins;17000475;004;Realizada;3;3;Casa;9;2;Próprio – já pago;0;0;2;6;4576;3;1525
2015;Tocantins;17000483;014;Realizada;3;3;Casa;8;3;Próprio – já pago;0;0;4;8;2176;3;725
2015;Tocantins;17000572;014;Realizada;4;2;Casa;2;1;Cedido de outra forma;0;0;4;4;797;4;199
2015;Tocantins;17000602;015;Realizada;1;1;Casa;5;1;Alugado;200;0;4;6;1600;1;1600
2015;Tocantins;17000629;011;Realizada;1;1;Casa;5;1;Cedido de outra forma;0;0;4;8;300;1;300
2015;Tocantins;17000700;012;Realizada;5;3;Casa;8;2;Próprio – já pago;0;0;2;4;2502;5;500
2015;Tocantins;17000742;005;Realizada;2;2;Casa;8;2;Próprio – já pago;0;0;4;8;1776;2;888
2015;Tocantins;17000777;014;Realizada;3;2;Casa;5;2;Alugado;400;0;4;2;1200;3;400
2015;Tocantins;17000840;014;Realizada;4;2;Casa;6;3;Alugado;350;0;2;6;2788;4;697
2015;Tocantins;17000866;006;Realizada;2;2;Casa;6;1;Próprio – já pago;0;0;4;8;1576;2;788
2015;Tocantins;17000882;009;Realizada;4;4;Casa;7;2;Próprio – já pago;0;0;2;8;1500;4;375
2015;Tocantins;17000882;013;Realizada;3;2;Casa;8;1;Alugado;500;0;4;2;5500;3;1833
2015;Tocantins;17001102;003;Realizada;1;1;Casa;3;1;Próprio – já pago;0;0;2;8;0;1;0
2015;Tocantins;17001129;001;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;4;8;1576;2;788
2015;Tocantins;17001153;006;Realizada;3;2;Casa;5;2;Próprio – já pago;0;0;2;2;1500;3;500
2015;Tocantins;17001293;010;Realizada;2;2;Apartamento;5;2;Próprio – ainda pagando;0;690;2;2;0;2;0
2015;Tocantins;17001498;032;Realizada;5;4;Casa;6;3;Próprio – já pago;0;0;2;4;1888;5;377
2015;Maranhão;21000131;012;Realizada;6;4;Casa;4;2;Próprio – já pago;0;0;4;8;865;6;144
2015;Maranhão;21000158;003;Realizada;2;2;Casa;2;1;Próprio – já pago;0;0;4;8;10;2;10
2015;Maranhão;21000239;004;Realizada;4;2;Casa;4;1;Próprio – já pago;0;0;4;8;250;4;62
2015;Maranhão;21000263;004;Realizada;6;3;Casa;4;2;Próprio – já pago;0;0;4;4;1328;6;221
2015;Maranhão;21000395;008;Realizada;5;3;Casa;6;2;Próprio – já pago;0;0;4;8;1576;5;315
2015;Maranhão;21000425;006;Realizada;7;4;Casa;6;2;Alugado;250;0;4;8;520;7;74
2015;Maranhão;21000425;008;Realizada;1;1;Casa;5;1;Próprio – já pago;0;0;4;2;833;1;833
2015;Maranhão;21000565;009;Realizada;2;2;Casa;9;1;Próprio – já pago;0;0;4;8;1578;2;789
2015;Maranhão;21000964;010;Realizada;5;2;Casa;6;2;Próprio – já pago;0;0;4;8;600;5;120
2015;Maranhão;21001111;010;Realizada;3;3;Casa;6;2;Próprio – já pago;0;0;4;8;2076;3;692
2015;Maranhão;21001308;003;Realizada;3;2;Casa;4;1;Próprio – já pago;0;0;4;8;1000;3;333
2015;Maranhão;21001383;004;Realizada;4;3;Casa;4;2;Próprio – já pago;0;0;4;8;330;4;82
2015;Maranhão;21001693;002;Realizada;3;3;Casa;9;3;Alugado;800;0;2;2;7500;3;2500
2015;Maranhão;21001715;004;Realizada;7;3;Casa;4;2;Cedido de outra forma;0;0;2;8;1650;7;235
2015;Maranhão;21001766;005;Realizada;2;2;Apartamento;5;1;Próprio – ainda pagando;0;180;2;2;5072;2;2536
2015;Maranhão;21001782;007;Realizada;3;3;Casa;7;2;Próprio – já pago;0;0;2;2;2300;3;766
2015;Maranhão;21001790;016;Realizada;3;2;Casa;4;1;Alugado;300;0;2;8;1112;3;370
2015;Maranhão;21001855;007;Realizada;6;6;Casa;8;3;Próprio – já pago;0;0;2;2;993;6;165
2015;Maranhão;21001855;015;Realizada;4;3;Casa;5;2;Próprio – já pago;0;0;4;2;1155;4;288
2015;Maranhão;21001979;010;Realizada;4;4;Casa;6;3;Próprio – já pago;0;0;4;8;2388;4;597
2015;Maranhão;21002053;017;Realizada;4;4;Casa;4;2;Próprio – já pago;0;0;4;4;3153;4;788
2015;Piauí;22000186;005;Realizada;6;6;Casa;3;3;Próprio – já pago;0;0;4;8;1726;6;287
2015;Piauí;22000216;003;Realizada;5;5;Casa;5;2;Próprio – já pago;0;0;4;8;2155;5;431
2015;Piauí;22000224;002;Realizada;3;2;Casa;3;2;Próprio – já pago;0;0;4;4;580;3;193
2015;Piauí;22000283;016;Realizada;2;2;Casa;7;1;Próprio – já pago;0;0;4;2;1200;2;600
2015;Piauí;22000313;012;Realizada;4;3;Casa;10;3;Próprio – já pago;0;0;4;4;988;4;247
2015;Piauí;22000330;016;Realizada;3;3;Casa;7;3;Próprio – já pago;0;0;4;4;600;3;200
2015;Piauí;22000372;006;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;4;4;1304;3;434
2015;Piauí;22000488;004;Realizada;3;1;Casa;7;2;Próprio – já pago;0;0;2;4;0;3;0
2015;Piauí;22000550;010;Realizada;4;3;Casa;11;3;Próprio – já pago;0;0;4;6;2081;4;520
2015;Piauí;22000640;013;Realizada;3;3;Casa;6;2;Próprio – já pago;0;0;4;8;742;3;247
2015;Piauí;22000992;025;Realizada;1;1;Apartamento;6;1;Próprio – já pago;0;0;2;2;5000;1;5000
2015;Piauí;22001077;013;Realizada;2;2;Casa;6;2;Alugado;250;0;4;8;930;2;465
2015;Piauí;22001123;001;Realizada;5;5;Casa;5;2;Cedido de outra forma;0;0;2;2;2676;5;535
2015;Piauí;22001131;013;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;2;8;1445;2;722
2015;Piauí;22001255;005;Realizada;5;4;Casa;6;2;Cedido de outra forma;0;0;4;8;800;5;160
2015;Piauí;22001255;030;Realizada;5;5;Casa;6;2;Próprio – já pago;0;0;4;8;1638;5;327
2015;Piauí;22001298;002;Realizada;6;6;Casa;10;3;Próprio – já pago;0;0;4;8;200;6;33
2015;Ceará;23000139;006;Realizada;8;5;Casa;5;4;Próprio – ainda pagando;0;110;2;8;1008;8;126
2015;Ceará;23000210;004;Realizada;2;2;Casa;4;1;Próprio – já pago;0;0;4;8;1576;2;788
2015;Ceará;23000210;014;Realizada;4;4;Casa;9;4;Próprio – já pago;0;0;2;4;3555;4;888
2015;Ceará;23000210;017;Realizada;1;1;Casa;6;1;Próprio – já pago;0;0;4;8;768;1;768
2015;Ceará;23000228;004;Realizada;2;2;Casa;7;1;Próprio – já pago;0;0;4;8;1650;2;825
2015;Ceará;23000236;008;Realizada;1;1;Casa;5;1;Próprio – já pago;0;0;4;4;500;1;500
2015;Ceará;23000287;007;Realizada;4;2;Casa;5;2;Cedido de outra forma;0;0;4;8;863;4;215
2015;Ceará;23000600;014;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;2;2;6780;2;3390
2015;Ceará;23000651;001;Realizada;2;2;Casa;10;2;Próprio – já pago;0;0;4;6;1576;2;788
2015;Ceará;23000813;006;Realizada;2;2;Casa;6;1;Próprio – já pago;0;0;4;8;985;2;492
2015;Ceará;23000830;012;Realizada;3;2;Casa;7;2;Próprio – já pago;0;0;4;4;1070;3;356
2015;Ceará;23000848;011;Realizada;4;4;Casa;9;3;Próprio – já pago;0;0;2;6;5000;4;1250
2015;Ceará;23000902;004;Realizada;3;2;Casa;5;2;Próprio – já pago;0;0;4;8;332;3;110
2015;Ceará;23001011;002;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;2;6;4200;3;1400
2015;Ceará;23001020;011;Realizada;7;6;Casa;8;3;Alugado;600;0;2;4;600;7;85
2015;Ceará;23001038;004;Realizada;5;5;Casa;6;3;Próprio – ainda pagando;0;220;2;2;8076;5;1615
2015;Ceará;23001054;011;Realizada;6;6;Casa;7;5;Próprio – já pago;0;0;2;6;7188;6;1198
2015;Ceará;23001062;009;Realizada;5;4;Casa;8;4;Alugado;300;0;2;8;2400;5;480
2015;Ceará;23001224;005;Realizada;2;1;Casa;3;1;Alugado;170;0;2;8;788;2;394
2015;Ceará;23001275;002;Realizada;3;3;Casa;7;3;Alugado;680;0;2;2;4376;3;1458
2015;Ceará;23001275;012;Realizada;2;2;Casa;6;1;Próprio – já pago;0;0;4;8;1400;2;700
2015;Ceará;23001429;004;Realizada;2;2;Casa;4;2;Alugado;250;0;2;8;788;2;394
2015;Ceará;23001496;018;Realizada;3;3;Apartamento;10;2;Próprio – já pago;0;0;2;2;10;3;10
2015;Ceará;23001712;002;Realizada;3;3;Casa;5;1;Próprio – já pago;0;0;4;4;10;3;10
2015;Ceará;23001739;004;Realizada;3;2;Casa;6;2;Próprio – já pago;0;0;2;6;2800;3;933
2015;Ceará;23001984;018;Realizada;2;2;Casa;6;1;Alugado;500;0;2;2;3788;2;1894
2015;Ceará;23002018;005;Realizada;1;1;Casa;4;1;Alugado;300;0;2;8;1100;1;1100
2015;Ceará;23002042;002;Realizada;2;2;Casa;4;1;Cedido de outra forma;0;0;2;8;788;2;394
2015;Ceará;23002069;004;Realizada;5;4;Casa;6;2;Próprio – já pago;0;0;4;8;175;5;35
2015;Ceará;23002107;013;Realizada;4;2;Casa;6;2;Próprio – já pago;0;0;2;2;5780;4;1445
2015;Ceará;23002115;004;Realizada;5;4;Casa;7;3;Próprio – já pago;0;0;4;8;3700;5;740
2015;Ceará;23002204;002;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;2;4;2150;3;716
2015;Ceará;23002220;005;Realizada;4;4;Casa;5;3;Próprio – já pago;0;0;4;6;3001;4;750
2015;Ceará;23002379;005;Realizada;2;2;Casa;7;1;Próprio – já pago;0;0;2;2;4000;2;2000
2015;Ceará;23002670;015;Realizada;1;1;Casa;5;1;Próprio – já pago;0;0;2;8;800;1;800
2015;Ceará;23002786;010;Realizada;5;5;Casa;7;4;Próprio – já pago;0;0;2;8;1876;5;375
2015;Ceará;23002921;018;Realizada;5;4;Casa;6;3;Cedido de outra forma;0;0;4;8;1576;5;315
2015;Ceará;23002972;008;Realizada;1;1;Casa;2;1;Próprio – já pago;0;0;4;8;788;1;788
2015;Ceará;23003006;003;Realizada;2;2;Casa;6;1;Próprio – ainda pagando;0;350;4;4;1576;2;788
2015;Ceará;23003030;003;Realizada;2;2;Casa;6;2;Próprio – já pago;0;0;2;8;10;2;10
2015;Ceará;23003189;003;Realizada;4;4;Casa;6;2;Cedido de outra forma;0;0;4;8;1736;4;434
2015;Ceará;23003243;003;Realizada;4;4;Casa;5;1;Outra condição;0;0;4;4;10;4;10
2015;Ceará;23003251;009;Realizada;1;1;Casa;5;1;Próprio – já pago;0;0;4;8;180;1;180
2015;Ceará;23003260;012;Realizada;1;1;Casa;6;1;Próprio – já pago;0;0;4;8;460;1;460
2015;Ceará;23003294;003;Realizada;4;4;Casa;3;2;Alugado;250;0;4;6;1863;4;465
2015;Ceará;23003383;014;Realizada;7;4;Casa;5;2;Cedido de outra forma;0;0;4;4;690;7;98
2015;Ceará;23003510;006;Realizada;1;1;Casa;3;1;Alugado;280;0;4;8;788;1;788
